order_id,order_date,region,product,category,quantity,unit_price,revenue,customer_id
1,2025-10-16,North,Gizmo,Electronics,8,59.69,477.52,1188
2,2024-04-14,East,Thingamajig,Accessories,3,149.67,449.01,1008
3,2024-01-31,North,Gadget,Hardware,17,152.49,2592.33,1143
4,2024-07-22,East,Thingamajig,Accessories,14,59.01,826.14,1150
5,2024-10-11,West,Widget,Hardware,6,176.04,1056.24,1087
6,2024-10-11,North,Gizmo,Electronics,4,27.72,110.88,1024
7,2025-01-02,West,Thingamajig,Accessories,9,202.75,1824.75,1186
8,2025-04-15,South,Doohickey,Electronics,3,140.25,420.75,1160
9,2025-09-25,West,Gizmo,Electronics,19,52.11,990.09,1017
10,2024-02-16,East,Gizmo,Electronics,3,214.55,643.65,1025
11,2025-01-24,North,Gizmo,Electronics,6,95.69,574.14,1053
12,2025-11-17,North,Widget,Hardware,20,160.57,3211.4,1136
13,2024-09-07,North,Doohickey,Electronics,9,247.43,2226.87,1163
14,2025-12-05,East,Gizmo,Electronics,2,61.12,122.24,1008
15,2024-11-19,South,Widget,Hardware,7,228.72,1601.04,1145
16,2024-11-18,North,Doohickey,Electronics,13,221.75,2882.75,1164
17,2025-04-14,North,Gadget,Hardware,8,187.52,1500.16,1137
18,2024-09-26,East,Doohickey,Electronics,19,102.85,1954.15,1056
19,2024-05-21,South,Widget,Hardware,2,215.97,431.94,1039
20,2025-10-04,North,Doohickey,Electronics,20,20.56,411.2,1097
21,2025-09-02,West,Thingamajig,Accessories,9,242.91,2186.19,1002
22,2025-11-27,East,Thingamajig,Accessories,9,193.31,1739.79,1087
23,2024-04-24,North,Gadget,Hardware,15,5.8,87.0,1184
24,2024-09-26,West,Gadget,Hardware,17,228.59,3886.03,1160
25,2024-11-01,West,Thingamajig,Accessories,20,53.73,1074.6,1095
26,2024-06-14,South,Thingamajig,Accessories,1,151.74,151.74,1125
27,2024-01-20,North,Gizmo,Electronics,10,63.67,636.7,1061
28,2025-08-03,West,Widget,Hardware,16,204.93,3278.88,1194
29,2025-06-29,East,Gadget,Hardware,16,236.98,3791.68,1042
30,2024-09-28,South,Thingamajig,Accessories,14,241.27,3377.78,1138
31,2025-12-07,North,Gizmo,Electronics,13,248.81,3234.53,1166
32,2025-01-17,South,Thingamajig,Accessories,15,34.65,519.75,1057
33,2024-03-06,South,Thingamajig,Accessories,18,61.38,1104.84,1056
34,2024-01-08,North,Widget,Hardware,8,21.51,172.08,1008
35,2024-12-04,North,Gadget,Hardware,9,168.9,1520.1,1054
36,2025-07-06,North,Thingamajig,Accessories,19,120.8,2295.2,1121
37,2025-02-20,North,Widget,Hardware,14,91.8,1285.2,1105
38,2025-04-23,West,Widget,Hardware,4,19.85,79.4,1186
39,2024-12-13,West,Widget,Hardware,8,51.94,415.52,1137
40,2025-04-04,North,Gadget,Hardware,9,118.34,1065.06,1019
41,2025-03-29,West,Thingamajig,Accessories,4,17.39,69.56,1138
42,2024-01-16,West,Gadget,Hardware,6,104.57,627.42,1123
43,2024-08-06,West,Widget,Hardware,6,97.85,587.1,1099
44,2024-09-28,West,Doohickey,Electronics,10,108.64,1086.4,1187
45,2025-07-23,East,Doohickey,Electronics,5,51.52,257.6,1055
46,2024-02-29,East,Thingamajig,Accessories,2,188.25,376.5,1014
47,2024-02-21,East,Thingamajig,Accessories,17,43.57,740.69,1130
48,2024-03-23,West,Widget,Hardware,20,21.65,433.0,1060
49,2025-02-17,North,Thingamajig,Accessories,8,146.84,1174.72,1010
50,2025-09-26,North,Thingamajig,Accessories,19,133.08,2528.52,1066
51,2024-07-28,East,Gizmo,Electronics,8,70.08,560.64,1033
52,2025-11-18,East,Doohickey,Electronics,11,232.61,2558.71,1018
53,2024-01-10,South,Thingamajig,Accessories,4,22.95,91.8,1054
54,2025-06-02,North,Gizmo,Electronics,3,220.42,661.26,1094
55,2024-10-18,North,Thingamajig,Accessories,10,154.86,1548.6,1167
56,2025-06-25,North,Thingamajig,Accessories,10,233.28,2332.8,1026
57,2024-05-17,North,Widget,Hardware,18,43.08,775.44,1072
58,2025-09-11,North,Gizmo,Electronics,7,173.44,1214.08,1067
59,2025-06-01,South,Widget,Hardware,3,160.4,481.2,1070
60,2024-02-15,North,Gadget,Hardware,9,44.59,401.31,1113
61,2025-07-18,East,Thingamajig,Accessories,1,32.41,32.41,1176
62,2024-06-01,South,Gizmo,Electronics,19,140.37,2667.03,1110
63,2024-05-10,North,Gizmo,Electronics,2,225.24,450.48,1053
64,2025-11-29,North,Widget,Hardware,12,196.13,2353.56,1104
65,2025-09-27,East,Gadget,Hardware,6,244.17,1465.02,1045
66,2025-02-26,North,Gizmo,Electronics,14,201.55,2821.7,1188
67,2024-09-11,North,Widget,Hardware,13,218.68,2842.84,1120
68,2024-08-15,North,Doohickey,Electronics,12,79.77,957.24,1058
69,2024-08-16,North,Gadget,Hardware,13,85.42,1110.46,1017
70,2024-10-12,South,Thingamajig,Accessories,13,171.48,2229.24,1137
71,2024-12-05,West,Widget,Hardware,9,48.75,438.75,1067
72,2024-02-09,North,Doohickey,Electronics,12,183.49,2201.88,1080
73,2025-03-22,East,Thingamajig,Accessories,4,99.37,397.48,1147
74,2024-07-13,North,Doohickey,Electronics,1,132.38,132.38,1137
75,2025-12-04,East,Gadget,Hardware,12,110.67,1328.04,1170
76,2024-12-04,East,Widget,Hardware,10,129.25,1292.5,1170
77,2025-02-22,South,Gizmo,Electronics,18,36.19,651.42,1107
78,2025-11-11,West,Gadget,Hardware,20,144.43,2888.6,1103
79,2025-07-15,West,Gizmo,Electronics,10,56.49,564.9,1148
80,2025-09-13,East,Doohickey,Electronics,15,113.33,1699.95,1054
81,2025-06-07,South,Gadget,Hardware,3,74.53,223.59,1169
82,2025-10-10,East,Widget,Hardware,8,169.83,1358.64,1057
